HANLONTOWN^I35^^;XHAN;&;&;43;23N;093;20W;333;X;R;9;US
STEAMBOAT^R^US20;XSBI;&;&;42;27N;093;03W;348;X;R;9;US
IDA^GROVE^US59^^;XIGI;&;&;42;21N;095;29W;376;X;R;9;US
CEDAR^RAPIDS^U30;XCRI;&;&;41;56N;091;33W;232;X;R;9;US
BEDFORD^^^^^^^^^;XBFI;&;&;40;41N;094;43W;357;X;R;9;US
COLFAX^^^^^^^^^^;XCFI;&;&;41;41N;093;16W;247;X;R;9;US
EDDYVILLE^^^^^^^;XDYI;&;&;41;09N;092;39W;244;X;R;9;US
SIBLEY^^^^^^^^^^;XSYI;&;&;43;26N;095;43W;480;X;R;9;US
TAMA^^^^^^^^^^^^;XTMI;&;&;41;58N;092;18W;250;X;R;9;US
CANTRIL^^^^^^^^^;XCTI;&;&;40;40N;092;04W;211;X;R;9;US
DENISON^^^^^^^^^;XDNI;&;&;41;55N;095;20W;426;X;R;9;US
PLAINFIELD^^^^^^;XPFI;&;&;42;50N;092;32W;294;X;R;9;US
QUAD^CITIES^^^^^;XQCI;&;&;41;31N;090;31W;177;X;R;9;US
STATE^FAIR^^^^^^;Q03I;&;&;41;36N;093;34W;333;X;S;9;US
ADAIR^^^^^^^^^^^;QADI;&;&;41;31N;094;35W;417;X;S;9;US
ADEL^^^^^^^^^^^^;QAEI;&;&;41;37N;094;01W;292;X;S;9;US
AFTON^^^^^^^^^^^;QAFI;&;&;41;02N;094;11W;387;X;S;9;US
ALGONA^^^^^^^^^^;QAGI;&;&;43;04N;094;14W;341;X;S;9;US
ANKENY^^^^^^^^^^;QAKI;&;&;41;44N;093;37W;310;X;S;9;US
ALBIA^^^^^^^^^^^;QALI;&;&;41;02N;092;49W;312;X;S;9;US
AMES^^^^^^^^^^^^;QAMI;&;&;42;03N;093;38W;309;X;S;9;US
ANITA^^^^^^^^^^^;QATI;&;&;41;27N;094;46W;387;X;S;9;US
AUDUBON^^^^^^^^^;QAUI;&;&;41;43N;094;55W;426;X;S;9;US
BEDFORD^^^^^^^^^;QBDI;&;&;40;40N;094;43W;350;X;S;9;US
BELMOND^^^^^^^^^;QBKI;&;&;42;51N;093;36W;372;X;S;9;US
